WEEK_START,NUM_AGENTS,TENURED_AGENTS,TRAINING_AGENTS,ATTENDANCE_RATE,LEADS_PER_AGENT,TOTAL_LEADS,TOTAL_SALES,CLOSE_RATE,AVG_ANNUAL_PREMIUM,BUSINESS_DAYS,COST_PER_CALL,OVERHEAD_COST_FROM_DATA,PREFERRED_SALES,STANDARD_SALES,GRADED_SALES,GI_SALES,PREFERRED_PCT,STANDARD_PCT,GRADED_PCT,GI_PCT,AVG_COMMISSION_RATE
2024-01-22,86,78,8,0.8135,17.33,1212,84,0.0695,2006.2,5,65.42,151994.17,26,32,14,12,0.3095,0.381,0.1667,0.1429,1.3923
2024-01-29,85,74,11,0.8362,20.14,1431,162,0.1137,1825.46,5,73.95,230786.47,62,64,21,15,0.3827,0.3951,0.1296,0.0926,1.4319
2024-02-05,88,75,13,0.8954,19.42,1530,148,0.0968,1908.38,5,73.96,214486.0,54,53,22,19,0.3649,0.3581,0.1486,0.1284,1.4061
2024-02-12,92,79,13,0.827,17.78,1352,171,0.127,1851.4,5,67.94,173270.61,57,62,27,25,0.3333,0.3626,0.1579,0.1462,1.3933
2024-02-19,87,79,8,0.8303,15.46,1116,105,0.0941,1832.13,5,68.23,142171.64,32,44,18,11,0.3048,0.419,0.1714,0.1048,1.4117
2024-02-26,88,79,9,0.817,13.46,967,104,0.1077,2119.92,5,73.86,218846.81,28,47,15,14,0.2692,0.4519,0.1442,0.1346,1.4041
2024-03-04,94,82,12,0.7432,16.66,1163,139,0.1201,2021.4,5,60.42,182136.5,52,49,24,14,0.3741,0.3525,0.1727,0.1007,1.4135
2024-03-11,93,80,13,0.8189,20.57,1566,199,0.1273,1811.42,5,60.74,215945.41,76,82,26,15,0.3819,0.4121,0.1307,0.0754,1.4411
2024-03-18,90,81,9,0.8224,18.64,1103,94,0.086,2129.92,4,66.25,145139.31,32,39,14,9,0.3404,0.4149,0.1489,0.0957,1.4239
2024-03-25,93,83,10,0.9185,14.26,1218,125,0.1033,2011.46,5,70.29,170015.62,46,46,16,17,0.368,0.368,0.128,0.136,1.4086
2024-04-01,91,84,7,0.8123,18.52,1095,110,0.1005,2112.57,4,74.49,185131.09,36,42,18,14,0.3273,0.3818,0.1636,0.1273,1.4018
2024-04-08,91,84,7,0.8321,19.16,1450,140,0.0969,2075.93,5,83.8,186174.51,48,55,21,16,0.3429,0.3929,0.15,0.1143,1.4134
2024-04-15,94,81,13,0.8186,15.35,944,137,0.1453,1784.2,4,78.86,173748.36,46,54,21,16,0.3358,0.3942,0.1533,0.1168,1.4109
2024-04-22,88,74,14,0.7733,18.46,1256,148,0.1181,1837.96,5,70.72,200571.25,46,56,33,13,0.3108,0.3784,0.223,0.0878,1.4042
2024-04-29,88,78,10,0.8657,18.17,1384,117,0.0848,2099.46,5,71.85,158309.49,35,45,19,18,0.2991,0.3846,0.1624,0.1538,1.3876
2024-05-06,92,79,13,0.8501,14.57,1139,146,0.1284,2072.07,5,63.98,181440.51,45,62,22,17,0.3082,0.4247,0.1507,0.1164,1.412
2024-05-13,91,80,11,0.8516,19.07,1478,225,0.1524,1945.82,5,71.85,188007.39,89,77,37,22,0.3956,0.3422,0.1644,0.0978,1.4178
2024-05-20,95,86,9,0.7836,19.68,1172,153,0.1306,1973.47,4,69.69,197860.97,56,56,21,20,0.366,0.366,0.1373,0.1307,1.4085
2024-05-27,91,80,11,0.8761,21.25,1355,107,0.0796,2205.53,4,74.58,202790.37,38,44,10,15,0.3551,0.4112,0.0935,0.1402,1.4175
2024-06-03,89,75,14,0.7639,21.16,1438,144,0.1003,1831.69,5,65.38,156883.95,50,61,16,17,0.3472,0.4236,0.1111,0.1181,1.424
2024-06-10,98,87,11,0.8435,13.87,1146,155,0.1353,2059.42,5,76.15,146647.15,56,69,15,15,0.3613,0.4452,0.0968,0.0968,1.4403
2024-06-17,93,78,15,0.9076,15.19,1281,122,0.0958,1909.56,5,84.26,216941.92,44,45,18,15,0.3607,0.3689,0.1475,0.123,1.4094
2024-06-24,93,89,4,0.7804,19.55,1418,168,0.1189,1906.46,5,71.13,193307.85,59,63,23,23,0.3512,0.375,0.1369,0.1369,1.4052
2024-07-01,89,77,12,0.7973,19.54,1386,173,0.1255,2169.76,5,75.21,166287.84,58,65,30,20,0.3353,0.3757,0.1734,0.1156,1.4051
2024-07-08,91,80,11,0.824,19.55,1465,133,0.0915,2115.08,5,77.52,223778.8,46,45,22,20,0.3459,0.3383,0.1654,0.1504,1.3885
2024-07-15,92,82,10,0.7999,28.0,2060,224,0.1088,2112.7,5,68.79,187891.87,73,97,32,22,0.3259,0.433,0.1429,0.0982,1.4246
2024-07-22,88,78,10,0.758,19.71,1314,78,0.06,2211.1,5,73.79,214482.43,27,29,14,8,0.3462,0.3718,0.1795,0.1026,1.4103
2024-07-29,93,88,5,0.8227,21.41,1637,146,0.0895,1954.2,5,72.1,186687.96,40,74,14,18,0.274,0.5068,0.0959,0.1233,1.426
2024-08-05,89,79,10,0.7775,20.86,1443,151,0.1049,2086.39,5,72.78,236518.7,46,61,26,18,0.3046,0.404,0.1722,0.1192,1.4035
2024-08-12,90,79,11,0.8389,19.95,1506,128,0.085,1887.95,5,65.82,228883.52,52,38,21,17,0.4062,0.2969,0.1641,0.1328,1.3986
2024-08-19,89,75,14,0.7832,17.05,1188,169,0.1426,2014.83,5,72.2,178775.9,79,58,19,13,0.4675,0.3432,0.1124,0.0769,1.4462
2024-08-26,96,86,10,0.882,20.28,1716,139,0.0814,1923.97,5,75.98,209289.27,44,53,24,18,0.3165,0.3813,0.1727,0.1295,1.3977
2024-09-02,90,82,8,0.7887,15.68,1113,112,0.1012,1969.4,5,83.61,201134.4,40,44,17,11,0.3571,0.3929,0.1518,0.0982,1.4217
2024-09-09,87,78,9,0.8071,17.29,1214,136,0.1126,2069.03,5,79.67,219215.79,52,50,19,15,0.3824,0.3676,0.1397,0.1103,1.4189
2024-09-16,93,80,13,0.8525,16.54,1311,182,0.1388,1786.36,5,89.23,160876.91,77,66,25,14,0.4231,0.3626,0.1374,0.0769,1.438
2024-09-23,87,76,11,0.7708,18.25,1223,99,0.0813,2368.48,5,65.86,202151.29,39,31,21,8,0.3939,0.3131,0.2121,0.0808,1.4116
2024-09-30,91,82,9,0.8291,24.94,1505,200,0.1333,1748.8,4,78.98,211460.61,67,78,30,25,0.335,0.39,0.15,0.125,1.4075
2024-10-07,85,74,11,0.8723,12.4,919,101,0.1102,1707.16,5,73.47,141031.51,33,38,17,13,0.3267,0.3762,0.1683,0.1287,1.3995
2024-10-14,87,77,10,0.7557,20.06,1055,95,0.0904,2181.62,4,89.52,155418.54,30,41,15,9,0.3158,0.4316,0.1579,0.0947,1.4216
2024-10-21,92,79,13,0.8274,13.16,1001,119,0.1192,2108.33,5,65.53,140000.0,44,49,15,11,0.3697,0.4118,0.1261,0.0924,1.4332
2024-10-28,94,85,9,0.8304,16.58,1294,147,0.114,2074.82,5,65.28,178264.83,48,55,27,17,0.3265,0.3741,0.1837,0.1156,1.4017
2024-11-04,92,82,10,0.8513,21.27,1665,163,0.098,2075.67,5,67.2,202938.56,49,67,22,25,0.3006,0.411,0.135,0.1534,1.3968
2024-11-11,92,83,9,0.7705,18.19,1289,143,0.1114,1947.55,5,55.01,222558.93,44,63,21,15,0.3077,0.4406,0.1469,0.1049,1.4196
2024-11-18,92,85,7,0.7672,14.77,1042,106,0.1023,1770.55,5,67.79,186852.37,35,45,16,10,0.3302,0.4245,0.1509,0.0943,1.4241
2024-11-25,89,78,11,0.8409,15.85,1186,133,0.1123,1965.16,5,65.93,225715.39,50,51,19,13,0.3759,0.3835,0.1429,0.0977,1.4248
2024-12-02,92,81,11,0.8319,20.04,1226,151,0.1232,1814.57,4,73.2,150497.46,59,52,24,16,0.3907,0.3444,0.1589,0.106,1.4151
2024-12-09,94,83,11,0.83,15.81,986,139,0.1417,2145.02,4,74.73,142415.44,48,59,25,7,0.3453,0.4245,0.1799,0.0504,1.4388
2024-12-16,99,88,11,0.8339,18.65,1539,131,0.0852,1920.59,5,87.01,183611.31,49,54,15,13,0.374,0.4122,0.1145,0.0992,1.4332
2024-12-23,98,91,7,0.7928,18.14,1409,215,0.1527,1784.9,5,79.6,194601.64,87,68,35,25,0.4047,0.3163,0.1628,0.1163,1.4081
2024-12-30,92,83,9,0.8293,16.05,1224,86,0.071,1885.72,5,67.38,184182.63,29,34,11,12,0.3372,0.3953,0.1279,0.1395,1.4067
2025-01-06,100,90,10,0.8317,24.43,2032,217,0.107,2032.59,5,64.81,140000.0,81,82,26,28,0.3733,0.3779,0.1198,0.129,1.4151
2025-01-13,98,89,9,0.7914,19.9,1543,187,0.1218,1837.26,5,75.94,182772.0,67,69,28,23,0.3583,0.369,0.1497,0.123,1.4087
