WEEK_START,NUM_AGENTS,TENURED_AGENTS,TRAINING_AGENTS,ATTENDANCE_RATE,LEADS_PER_AGENT,TOTAL_LEADS,TOTAL_SALES,CLOSE_RATE,AVG_ANNUAL_PREMIUM,BUSINESS_DAYS,COST_PER_CALL,OVERHEAD_COST_FROM_DATA,PREFERRED_SALES,STANDARD_SALES,GRADED_SALES,GI_SALES,PREFERRED_PCT,STANDARD_PCT,GRADED_PCT,GI_PCT,AVG_COMMISSION_RATE
2024-01-22,80,71,9,0.8176,19.49,1019,94,0.0931,1912.92,4,71.65,200521.15,35,36,11,12,0.3723,0.383,0.117,0.1277,1.4168
2024-01-29,80,70,10,0.8261,18.38,1214,138,0.1141,1947.62,5,71.63,191398.08,48,53,21,16,0.3478,0.3841,0.1522,0.1159,1.4118
2024-02-05,81,70,11,0.8483,17.05,1171,111,0.0954,1850.0,5,72.61,196008.43,40,43,15,13,0.3604,0.3874,0.1351,0.1171,1.4167
2024-02-12,83,73,10,0.8226,18.53,1264,126,0.0998,1909.02,5,70.04,193924.27,47,47,21,11,0.373,0.373,0.1667,0.0873,1.4228
2024-02-19,81,72,9,0.8239,17.22,1149,114,0.0996,1939.9,5,71.36,194212.78,44,42,15,13,0.386,0.3684,0.1316,0.114,1.4195
2024-02-26,82,73,9,0.8189,18.63,1250,123,0.0988,1900.09,5,69.38,186855.14,45,50,14,14,0.3659,0.4065,0.1138,0.1138,1.4254
2024-03-04,85,75,10,0.7912,18.93,1272,119,0.094,2015.3,5,70.65,192843.14,41,52,15,11,0.3445,0.437,0.1261,0.0924,1.4332
2024-03-11,84,74,10,0.8196,17.34,1194,121,0.1014,1892.79,5,69.74,196238.89,43,46,17,15,0.3554,0.3802,0.1405,0.124,1.4112
2024-03-18,83,74,9,0.8209,18.77,1278,119,0.0932,1932.4,5,70.19,203471.89,41,47,17,14,0.3445,0.395,0.1429,0.1176,1.4139
2024-03-25,85,76,9,0.8569,18.33,1335,130,0.0974,1955.23,5,71.19,199144.75,48,51,17,14,0.3692,0.3923,0.1308,0.1077,1.4233
2024-04-01,84,76,8,0.8171,18.66,1280,124,0.0969,2007.65,5,68.36,208303.89,38,53,18,15,0.3065,0.4274,0.1452,0.121,1.4113
2024-04-08,84,76,8,0.8245,19.52,1351,136,0.1013,1892.57,5,74.18,184547.49,47,55,16,18,0.3456,0.4044,0.1176,0.1324,1.414
2024-04-15,86,76,10,0.8195,17.8,1254,145,0.1157,1996.53,5,67.99,197272.68,52,56,21,16,0.3586,0.3862,0.1448,0.1103,1.4172
2024-04-22,83,72,11,0.8025,17.4,1158,106,0.0915,1950.41,5,67.57,191368.7,35,43,15,13,0.3302,0.4057,0.1415,0.1226,1.4116
2024-04-29,84,75,9,0.8371,17.29,1215,131,0.1078,1910.74,5,72.32,207028.23,45,51,19,16,0.3435,0.3893,0.145,0.1221,1.4107
